txn_id,date,time,description,payee,amount,channel,category
T00001,2026-06-01,07:46,HP Petrol Pump,HP Petrol Pump,1917.62,card,groceries
T00002,2026-06-01,08:47,Swiggy,Swiggy,3015.68,UPI,groceries
T00003,2026-06-01,10:35,Landlord - R. Iyer,Landlord - R. Iyer,566.94,netbanking,rent
T00004,2026-06-01,18:01,Airtel Postpaid,Airtel Postpaid,1787.24,UPI,rent
T00005,2026-06-02,09:26,Airtel Postpaid,Airtel Postpaid,427.93,netbanking,salary_credit
T00006,2026-06-02,17:05,Netflix India,Netflix India,853.12,ATM,salary_credit
T00007,2026-06-02,20:21,Zomato,Zomato,1017.5,ATM,utilities
T00008,2026-06-02,20:41,Local Kirana Store,Local Kirana Store,3176.26,netbanking,utilities
T00009,2026-06-03,07:18,Employer Payroll,Employer Payroll,1543.67,ATM,groceries
T00010,2026-06-03,08:56,Swiggy,Swiggy,1606.2,netbanking,dining
T00011,2026-06-03,21:54,Amazon Retail,Amazon Retail,3863.3,UPI,dining
T00012,2026-06-04,08:17,Big Bazaar Retail,Big Bazaar Retail,791.2,UPI,fuel
T00013,2026-06-04,09:36,BookMyShow,BookMyShow,2481.56,netbanking,utilities
T00014,2026-06-04,21:45,Big Bazaar Retail,Big Bazaar Retail,1726.15,UPI,fuel
T00015,2026-06-05,08:20,Local Kirana Store,Local Kirana Store,3656.86,UPI,shopping
T00016,2026-06-05,20:26,Employer Payroll,Employer Payroll,2715.37,ATM,shopping
T00017,2026-06-05,21:14,Zomato,Zomato,2128.17,card,dining
T00018,2026-06-06,10:17,Netflix India,Netflix India,2511.53,UPI,subscription
T00019,2026-06-06,17:07,Amazon Retail,Amazon Retail,3419.64,netbanking,fuel
T00020,2026-06-06,17:27,Amazon Retail,Amazon Retail,1019.16,UPI,subscription
T00021,2026-06-07,18:38,Airtel Postpaid,Airtel Postpaid,2572.41,netbanking,rent
T00022,2026-06-07,19:54,Big Bazaar Retail,Big Bazaar Retail,3097.9,card,shopping
