txn_id,date,time,description,payee,amount,channel,category
T00001,2026-06-01,07:27,BookMyShow,BookMyShow,3034.06,UPI,groceries
T00002,2026-06-01,12:23,BookMyShow,BookMyShow,1984.06,netbanking,rent
T00003,2026-06-01,13:54,Amazon Retail,Amazon Retail,1630.55,ATM,groceries
T00004,2026-06-01,20:38,Employer Payroll,Employer Payroll,455.71,UPI,rent
T00005,2026-06-02,07:59,Amazon Retail,Amazon Retail,1509.21,UPI,utilities
T00006,2026-06-02,10:01,Netflix India,Netflix India,1772.93,card,salary_credit
T00007,2026-06-02,13:47,State Electricity Board,State Electricity Board,2753.69,UPI,salary_credit
T00008,2026-06-02,20:58,HP Petrol Pump,HP Petrol Pump,1342.8,card,utilities
T00009,2026-06-03,07:18,Employer Payroll,Employer Payroll,3598.03,ATM,dining
T00010,2026-06-03,13:34,Swiggy,Swiggy,368.1,ATM,groceries
T00011,2026-06-03,22:08,Big Bazaar Retail,Big Bazaar Retail,2337.07,ATM,dining
T00012,2026-06-04,10:32,Amazon Retail,Amazon Retail,1025.62,UPI,utilities
T00013,2026-06-04,16:41,Landlord - R. Iyer,Landlord - R. Iyer,1122.86,card,fuel
T00014,2026-06-04,19:23,BookMyShow,BookMyShow,1753.69,card,fuel
T00015,2026-06-05,08:34,State Electricity Board,State Electricity Board,3704.46,netbanking,shopping
T00016,2026-06-05,16:36,Swiggy,Swiggy,3975.24,card,dining
T00017,2026-06-05,20:55,Big Bazaar Retail,Big Bazaar Retail,3972.86,ATM,shopping
T00018,2026-06-06,13:19,HP Petrol Pump,HP Petrol Pump,2472.09,netbanking,fuel
T00019,2026-06-06,14:24,BookMyShow,BookMyShow,3351.74,UPI,subscription
T00020,2026-06-06,18:05,State Electricity Board,State Electricity Board,3685.04,ATM,subscription
T00021,2026-06-07,08:12,Airtel Postpaid,Airtel Postpaid,2498.88,UPI,rent
T00022,2026-06-07,17:07,Netflix India,Netflix India,2794.38,card,rent
T00023,2026-06-07,19:19,Landlord - R. Iyer,Landlord - R. Iyer,3529.78,card,shopping
T00024,2026-06-08,19:35,Landlord - R. Iyer,Landlord - R. Iyer,1245.58,card,subscription
T00025,2026-06-08,21:13,Local Kirana Store,Local Kirana Store,2952.36,card,salary_credit
T00026,2026-06-08,22:08,Airtel Postpaid,Airtel Postpaid,878.2,ATM,salary_credit
T00027,2026-06-09,06:48,Big Bazaar Retail,Big Bazaar Retail,2965.86,card,groceries
T00028,2026-06-09,12:59,Netflix India,Netflix India,1352.11,UPI,groceries
T00029,2026-06-09,18:50,Local Kirana Store,Local Kirana Store,2083.36,netbanking,rent
T00030,2026-06-10,19:09,HP Petrol Pump,HP Petrol Pump,2192.96,ATM,salary_credit
T00031,2026-06-10,20:43,Local Kirana Store,Local Kirana Store,286.39,netbanking,utilities
T00032,2026-06-10,21:58,HP Petrol Pump,HP Petrol Pump,3855.89,UPI,utilities
T00033,2026-06-11,18:52,Netflix India,Netflix India,2932.56,ATM,dining
T00034,2026-06-11,18:58,HP Petrol Pump,HP Petrol Pump,2843.38,card,dining
T00035,2026-06-12,17:09,Airtel Postpaid,Airtel Postpaid,1072.72,ATM,fuel
T00036,2026-06-12,18:29,HP Petrol Pump,HP Petrol Pump,2297.9,netbanking,fuel
T00037,2026-06-13,07:51,Zomato,Zomato,1247.47,UPI,shopping
T00038,2026-06-13,14:23,Zomato,Zomato,2665.14,netbanking,shopping
T00039,2026-06-14,09:51,Zomato,Zomato,3554.69,ATM,subscription
T00040,2026-06-14,13:13,Zomato,Zomato,2708.75,UPI,subscription
T00041,2026-06-15,14:48,HP Petrol Pump,HP Petrol Pump,2292.44,netbanking,salary_credit
T00042,2026-06-15,16:14,Local Kirana Store,Local Kirana Store,1321.73,card,rent
T00043,2026-06-16,10:53,State Electricity Board,State Electricity Board,3104.49,ATM,groceries
T00044,2026-06-16,11:08,Airtel Postpaid,Airtel Postpaid,1951.15,netbanking,salary_credit
T00045,2026-06-16,22:02,Employer Payroll,Employer Payroll,3684.22,UPI,dining
T00046,2026-06-17,17:03,Swiggy,Swiggy,1031.13,ATM,groceries
T00047,2026-06-18,06:01,Big Bazaar Retail,Big Bazaar Retail,2222.41,ATM,groceries
T00048,2026-06-18,11:06,Amazon Retail,Amazon Retail,265.14,ATM,shopping
T00049,2026-06-18,17:17,Zomato,Zomato,1115.68,netbanking,dining
T00050,2026-06-19,15:43,Landlord - R. Iyer,Landlord - R. Iyer,2347.01,card,salary_credit
T00051,2026-06-19,18:35,State Electricity Board,State Electricity Board,555.3,ATM,groceries
T00052,2026-06-19,21:54,Airtel Postpaid,Airtel Postpaid,2870.81,UPI,groceries
T00053,2026-06-20,06:13,Airtel Postpaid,Airtel Postpaid,881.55,netbanking,groceries
T00054,2026-06-20,13:13,Netflix India,Netflix India,3600.21,UPI,utilities
T00055,2026-06-20,14:57,BookMyShow,BookMyShow,1230.16,UPI,salary_credit
T00056,2026-06-21,11:36,BookMyShow,BookMyShow,3729.72,netbanking,rent
T00057,2026-06-22,08:32,Landlord - R. Iyer,Landlord - R. Iyer,1658.62,card,subscription
T00058,2026-06-23,18:49,Landlord - R. Iyer,Landlord - R. Iyer,3386.96,netbanking,fuel
T00059,2026-06-23,21:14,Airtel Postpaid,Airtel Postpaid,3177.48,ATM,shopping
T00060,2026-06-24,08:49,Landlord - R. Iyer,Landlord - R. Iyer,905.8,ATM,rent
T00061,2026-06-24,18:45,HP Petrol Pump,HP Petrol Pump,511.74,card,utilities
T00062,2026-06-25,15:28,Netflix India,Netflix India,604.89,UPI,subscription
T00063,2026-06-26,08:38,Landlord - R. Iyer,Landlord - R. Iyer,299.8,netbanking,utilities
T00064,2026-06-26,20:35,State Electricity Board,State Electricity Board,531.73,ATM,dining
T00065,2026-06-27,13:36,Big Bazaar Retail,Big Bazaar Retail,1772.48,UPI,shopping
T00066,2026-06-27,15:17,Airtel Postpaid,Airtel Postpaid,844.11,netbanking,rent
