txn_id,date,time,description,payee,amount,channel,category
T00001,2026-06-01,09:46,Local Kirana Store,Local Kirana Store,457.62,netbanking,rent
T00002,2026-06-01,09:54,Amazon Retail,Amazon Retail,283.27,card,groceries
T00003,2026-06-01,11:03,Airtel Postpaid,Airtel Postpaid,826.99,ATM,groceries
T00004,2026-06-01,18:57,HP Petrol Pump,HP Petrol Pump,2009.8,UPI,rent
T00005,2026-06-02,08:23,Swiggy,Swiggy,2199.92,netbanking,utilities
T00006,2026-06-02,09:48,BookMyShow,BookMyShow,331.97,card,salary_credit
T00007,2026-06-02,19:44,State Electricity Board,State Electricity Board,1458.16,card,utilities
T00008,2026-06-02,20:46,Employer Payroll,Employer Payroll,204.87,ATM,salary_credit
T00009,2026-06-03,09:21,Airtel Postpaid,Airtel Postpaid,2877.24,ATM,dining
T00010,2026-06-03,15:19,Zomato,Zomato,2943.74,netbanking,dining
T00011,2026-06-03,19:31,Landlord - R. Iyer,Landlord - R. Iyer,1794.68,card,groceries
T00012,2026-06-04,11:46,BookMyShow,BookMyShow,1346.71,card,fuel
T00013,2026-06-04,18:06,Swiggy,Swiggy,3550.73,netbanking,utilities
T00014,2026-06-04,21:09,HP Petrol Pump,HP Petrol Pump,564.48,ATM,fuel
T00015,2026-06-05,08:18,Big Bazaar Retail,Big Bazaar Retail,1571.15,ATM,shopping
T00016,2026-06-05,11:28,State Electricity Board,State Electricity Board,3349.47,card,dining
T00017,2026-06-05,16:11,Airtel Postpaid,Airtel Postpaid,3805.04,ATM,shopping
T00018,2026-06-06,12:06,Airtel Postpaid,Airtel Postpaid,2575.35,ATM,subscription
T00019,2026-06-06,13:42,Amazon Retail,Amazon Retail,2887.3,netbanking,subscription
T00020,2026-06-06,15:01,BookMyShow,BookMyShow,480.1,UPI,fuel
T00021,2026-06-07,08:21,Netflix India,Netflix India,1411.12,UPI,shopping
T00022,2026-06-07,08:30,Big Bazaar Retail,Big Bazaar Retail,986.42,netbanking,rent
T00023,2026-06-07,18:19,Landlord - R. Iyer,Landlord - R. Iyer,2438.01,card,rent
T00024,2026-06-08,10:11,State Electricity Board,State Electricity Board,2989.18,netbanking,salary_credit
T00025,2026-06-08,11:46,Local Kirana Store,Local Kirana Store,846.4,ATM,subscription
T00026,2026-06-08,21:31,State Electricity Board,State Electricity Board,1371.74,ATM,salary_credit
T00027,2026-06-09,07:11,Zomato,Zomato,2969.56,ATM,groceries
T00028,2026-06-09,11:23,Airtel Postpaid,Airtel Postpaid,1207.02,ATM,groceries
T00029,2026-06-09,16:38,Netflix India,Netflix India,485.01,UPI,rent
T00030,2026-06-10,06:27,HP Petrol Pump,HP Petrol Pump,3944.05,ATM,salary_credit
T00031,2026-06-10,07:16,Landlord - R. Iyer,Landlord - R. Iyer,1603.73,ATM,utilities
T00032,2026-06-10,09:59,Big Bazaar Retail,Big Bazaar Retail,2489.08,card,utilities
T00033,2026-06-11,08:15,Employer Payroll,Employer Payroll,2085.5,netbanking,dining
T00034,2026-06-11,14:36,Employer Payroll,Employer Payroll,1967.22,card,dining
T00035,2026-06-12,08:42,Big Bazaar Retail,Big Bazaar Retail,774.3,UPI,fuel
T00036,2026-06-12,11:40,Zomato,Zomato,1517.88,netbanking,fuel
T00037,2026-06-13,13:35,Netflix India,Netflix India,3271.08,ATM,shopping
T00038,2026-06-13,16:28,Big Bazaar Retail,Big Bazaar Retail,3564.22,UPI,shopping
T00039,2026-06-14,13:44,HP Petrol Pump,HP Petrol Pump,243.3,card,subscription
T00040,2026-06-14,21:36,Big Bazaar Retail,Big Bazaar Retail,3395.03,ATM,subscription
T00041,2026-06-15,07:27,Swiggy,Swiggy,3272.15,card,fuel
T00042,2026-06-15,14:20,Airtel Postpaid,Airtel Postpaid,967.29,card,rent
T00043,2026-06-15,16:54,State Electricity Board,State Electricity Board,1674.78,ATM,utilities
T00044,2026-06-16,10:36,Big Bazaar Retail,Big Bazaar Retail,627.57,card,rent
T00045,2026-06-16,15:55,State Electricity Board,State Electricity Board,2338.2,UPI,utilities
T00046,2026-06-17,07:11,Amazon Retail,Amazon Retail,2688.19,ATM,rent
T00047,2026-06-17,13:03,Swiggy,Swiggy,347.37,netbanking,rent
T00048,2026-06-18,08:12,Employer Payroll,Employer Payroll,1223.8,ATM,subscription
T00049,2026-06-18,10:19,BookMyShow,BookMyShow,3895.49,card,utilities
T00050,2026-06-18,15:17,Netflix India,Netflix India,1483.89,netbanking,groceries
T00051,2026-06-19,07:15,Local Kirana Store,Local Kirana Store,860.2,card,groceries
T00052,2026-06-19,07:32,Landlord - R. Iyer,Landlord - R. Iyer,3086.07,netbanking,salary_credit
T00053,2026-06-19,10:49,State Electricity Board,State Electricity Board,2896.36,ATM,shopping
T00054,2026-06-21,08:18,Employer Payroll,Employer Payroll,1508.15,netbanking,subscription
T00055,2026-06-21,20:11,State Electricity Board,State Electricity Board,1119.36,ATM,groceries
T00056,2026-06-21,22:25,Netflix India,Netflix India,1241.11,ATM,fuel
